gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,avg_score
FEMALE,GROUP B,BACHELOR'S DEGREE,STANDARD,NONE,72,72,74,72.66666666666667
FEMALE,GROUP C,SOME COLLEGE,STANDARD,COMPLETED,69,90,88,82.33333333333333
FEMALE,GROUP B,MASTER'S DEGREE,STANDARD,NONE,90,95,93,92.66666666666667
MALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,47,57,44,49.333333333333336
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,76,78,75,76.33333333333333
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,71,83,78,77.33333333333333
FEMALE,GROUP B,SOME COLLEGE,STANDARD,COMPLETED,88,95,92,91.66666666666667
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,NONE,40,43,39,40.666666666666664
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,COMPLETED,64,64,67,65.0
FEMALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,38,60,50,49.333333333333336
MALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,58,54,52,54.666666666666664
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,40,52,43,45.0
FEMALE,GROUP B,HIGH SCHOOL,STANDARD,NONE,65,81,73,73.0
MALE,GROUP A,SOME COLLEGE,STANDARD,COMPLETED,78,72,70,73.33333333333333
FEMALE,GROUP A,MASTER'S DEGREE,STANDARD,NONE,50,53,58,53.666666666666664
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,69,75,78,74.0
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,88,89,86,87.66666666666667
FEMALE,GROUP B,SOME HIGH SCHOOL,FREE/REDUCED,NONE,18,32,28,26.0
MALE,GROUP C,MASTER'S DEGREE,FREE/REDUCED,COMPLETED,46,42,46,44.666666666666664
FEMALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,54,58,61,57.666666666666664
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,66,69,63,66.0
FEMALE,GROUP B,SOME COLLEGE,FREE/REDUCED,COMPLETED,65,75,70,70.0
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,44,54,53,50.333333333333336
FEMALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,69,73,73,71.66666666666667
MALE,GROUP D,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,74,71,80,75.0
MALE,GROUP A,MASTER'S DEGREE,FREE/REDUCED,NONE,73,74,72,73.0
MALE,GROUP B,SOME COLLEGE,STANDARD,NONE,69,54,55,59.333333333333336
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,67,69,75,70.33333333333333
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,70,70,65,68.33333333333333
FEMALE,GROUP D,MASTER'S DEGREE,STANDARD,NONE,62,70,75,69.0
FEMALE,GROUP D,SOME COLLEGE,STANDARD,NONE,69,74,74,72.33333333333333
FEMALE,GROUP B,SOME COLLEGE,STANDARD,NONE,63,65,61,63.0
FEMALE,GROUP E,MASTER'S DEGREE,FREE/REDUCED,NONE,56,72,65,64.33333333333333
MALE,GROUP D,SOME COLLEGE,STANDARD,NONE,40,42,38,40.0
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,97,87,82,88.66666666666667
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,81,81,79,80.33333333333333
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,74,81,83,79.33333333333333
FEMALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,50,64,59,57.666666666666664
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,75,90,88,84.33333333333333
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,57,56,57,56.666666666666664
MALE,GROUP C,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,55,61,54,56.666666666666664
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,58,73,68,66.33333333333333
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,53,58,65,58.666666666666664
MALE,GROUP B,SOME COLLEGE,FREE/REDUCED,COMPLETED,59,65,66,63.333333333333336
FEMALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,50,56,54,53.333333333333336
MALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,65,54,57,58.666666666666664
FEMALE,GROUP A,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,55,65,62,60.666666666666664
FEMALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,66,71,76,71.0
FEMALE,GROUP D,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,57,74,76,69.0
MALE,GROUP C,HIGH SCHOOL,STANDARD,COMPLETED,82,84,82,82.66666666666667
MALE,GROUP E,SOME COLLEGE,STANDARD,NONE,53,55,48,52.0
MALE,GROUP E,ASSOCIATE'S DEGREE,FREE/REDUCED,COMPLETED,77,69,68,71.33333333333333
MALE,GROUP C,SOME COLLEGE,STANDARD,NONE,53,44,42,46.333333333333336
MALE,GROUP D,HIGH SCHOOL,STANDARD,NONE,88,78,75,80.33333333333333
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,COMPLETED,71,84,87,80.66666666666667
FEMALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,33,41,43,39.0
FEMALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,COMPLETED,82,85,86,84.33333333333333
MALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,52,55,49,52.0
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,58,59,58,58.333333333333336
FEMALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,0,17,10,9.0
MALE,GROUP E,BACHELOR'S DEGREE,FREE/REDUCED,COMPLETED,79,74,72,75.0
MALE,GROUP A,SOME HIGH SCHOOL,FREE/REDUCED,NONE,39,39,34,37.333333333333336
MALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,62,61,55,59.333333333333336
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,69,80,71,73.33333333333333
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,59,58,59,58.666666666666664
MALE,GROUP B,SOME HIGH SCHOOL,STANDARD,NONE,67,64,61,64.0
MALE,GROUP D,SOME HIGH SCHOOL,FREE/REDUCED,NONE,45,37,37,39.666666666666664
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,60,72,74,68.66666666666667
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,61,58,56,58.333333333333336
FEMALE,GROUP C,ASSOCIATE'S DEGREE,STANDARD,NONE,39,64,57,53.333333333333336
FEMALE,GROUP D,SOME COLLEGE,FREE/REDUCED,COMPLETED,58,63,73,64.66666666666667
MALE,GROUP D,SOME COLLEGE,STANDARD,COMPLETED,63,55,63,60.333333333333336
FEMALE,GROUP A,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,41,51,48,46.666666666666664
MALE,GROUP C,SOME HIGH SCHOOL,FREE/REDUCED,NONE,61,57,56,58.0
MALE,GROUP C,SOME HIGH SCHOOL,STANDARD,NONE,49,49,41,46.333333333333336
MALE,GROUP B,ASSOCIATE'S DEGREE,FREE/REDUCED,NONE,44,41,38,41.0
MALE,GROUP E,SOME HIGH SCHOOL,STANDARD,NONE,30,26,22,26.0
MALE,GROUP A,BACHELOR'S DEGREE,STANDARD,COMPLETED,80,78,81,79.66666666666667
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,COMPLETED,61,74,72,69.0
FEMALE,GROUP E,MASTER'S DEGREE,STANDARD,NONE,62,68,68,66.0
FEMALE,GROUP B,ASSOCIATE'S DEGREE,STANDARD,NONE,47,49,50,48.666666666666664
MALE,GROUP B,HIGH SCHOOL,FREE/REDUCED,NONE,49,45,45,46.333333333333336
MALE,GROUP A,SOME COLLEGE,FREE/REDUCED,COMPLETED,50,47,54,50.333333333333336
MALE,GROUP E,ASSOCIATE'S DEGREE,STANDARD,NONE,72,64,63,66.33333333333333
MALE,GROUP D,HIGH SCHOOL,FREE/REDUCED,NONE,42,39,34,38.333333333333336
FEMALE,GROUP C,SOME COLLEGE,STANDARD,NONE,73,80,82,78.33333333333333
FEMALE,GROUP C,SOME COLLEGE,FREE/REDUCED,NONE,76,83,88,82.33333333333333
FEMALE,GROUP D,ASSOCIATE'S DEGREE,STANDARD,NONE,71,71,74,72.0
FEMALE,GROUP A,SOME COLLEGE,STANDARD,NONE,58,70,67,65.0
FEMALE,GROUP D,SOME HIGH SCHOOL,STANDARD,NONE,73,86,82,80.33333333333333
FEMALE,GROUP C,BACHELOR'S DEGREE,STANDARD,NONE,65,72,74,70.33333333333333
MALE,GROUP C,HIGH SCHOOL,FREE/REDUCED,NONE,27,34,36,32.333333333333336
MALE,GROUP C,HIGH SCHOOL,STANDARD,NONE,71,79,71,73.66666666666667
